company_id,email_text,position_applied,email_length,word_count,sentence_count,vader_compound,textblob_polarity,afinn_score,afinn_positive_count,afinn_negative_count,empathy_words,apology_words,personal_pronouns,pronoun_density,empathy_density,mentions_future,contains_feedback,flesch_reading,emotion_joy,emotion_trust,emotion_anticipation,emotion_sadness,emotion_fear,emotion_anger,emotion_disgust,emotion_surprise,emotion_positive,emotion_negative,status,days_since_application
Company_A,"Hi [Name], Thank you again for applying for the position of Junior Data Engineer at [Company_A]. We appreciate your interest in joining our team and we are grateful for the time and effort you put into your application. After reviewing your profile, we're sorry to inform you that we won't be moving forward with your application at this time. This wasn't an easy decision, as we received many strong applications for this role. While we were impressed by your experience, we've decided to move ahead with candidates whose skills and previous job experiences more closely align with our current needs. Please rest assured that not progressing with your profile does not reflect a lack of appreciation for your skills and experience. Although we're not taking things further today, we hope our paths will cross again in the future. We encourage you to keep an eye on our Career page for future opportunities; as we are a fast-growing company, we do open new positions frequently! Wishing you all the best in your next steps!",Junior Data Engineer,1023,178,10,0.9894,0.2036096256684492,28.0,16,2,5,1,13,0.07303370786516854,0.028089887640449437,True,True,53.82271034039823,3,6,4,1,1,1,0,1,13,2,rejection,
Company_B,"Hello, Thank you for your interest in joining the [Company_B] team. We reviewed your application, and unfortunately, we decided not to proceed. Shortlisting the best candidates is hard. Although your resume is competitive, I had to choose amongst a lot of great candidates for the job: sorry! (Keep in mind that I can make mistakes :)) If it might help you for future applications, here is what recruiters like to see in resumes: Beautifully designed, Resume adapted to the job position (as it shows your motivation), i.e. : Catch phrase adapted to company, Highlight (or set bold) what matters for the job position, Key elements we need to qualify easily visible: your city, languages, phone, email, etc. No need to write a lot: 1 page is often better (imagine we have to check hundreds of resumes). Good luck finding your dream job.",Software Role,834,139,10,0.9878,0.2846153846153846,28.0,16,4,1,2,8,0.05755395683453238,0.007194244604316547,True,False,57.338214285714315,2,2,2,0,0,0,0,3,8,0,rejection,
Company_C,"Hi [Name], Thanks for your application with [Company_C]! Unfortunately, we have chosen not to take your application to the next round of our hiring process for the Junior Analytics Engineer position. We have received a great amount of applications for this position and we've decided to move forward with other candidates whose experience and skills are more in line with what we're currently looking for at this time. Things can change fast though! So we would like to include your resume in our database for a period of 2 years. We'll contact you if we have an open position that might be a good match for you. If you don't want us to keep your resume, please let us know in a reply to this email. If at any point in time you would like to view, alter or have your data deleted from our database, please let us know. We wish you all the best in your job search and future professional endeavors.",Junior Analytics Engineer,897,166,10,0.9739,0.1982142857142857,19.0,10,0,1,1,11,0.06626506024096386,0.006024096385542169,True,False,67.11383468834691,1,3,3,0,1,0,0,1,9,0,rejection,
Company_D,"Hi [Name], Thanks for taking the time to apply for the Data Analyst (For Independent contractors) gig. We're sorry, but you haven't been selected this time. Unfortunately, the hiring team has decided to move forward with another candidate based on their previous work experience and skill set. Hopefully your next gig with us is just around the corner. We'll let you know when we have another gig that matches your skills.",Data Analyst (Contractor),422,74,6,0.3071,-0.16111111111111112,3.0,2,1,0,2,4,0.05405405405405406,0.0,True,True,62.54312676056338,0,3,3,0,0,0,0,0,4,0,rejection,
Company_E,"Thank you for your interest in the Full Stack Developer (focus back-end) position at [Company_E]. Unfortunately, we will not be moving forward with your application, but we appreciate your time and interest in [Company_E].",Full Stack Developer,222,33,3,0.8625,-0.07500000000000001,6.0,4,0,2,1,4,0.12121212121212122,0.06060606060606061,False,False,42.77411764705883,0,0,1,0,0,0,0,0,5,0,rejection,
Company_F,"Hi [Name], Thank you again for your interest in [Company_F], we want you to know that we value the time and effort you've invested in your application for the Data Engineer - Intern position. We have carefully reviewed your application and, while we were impressed with your experience and qualifications, we have decided to proceed with other candidates who more closely match our current needs. Due to the high number of applicants, we unfortunately can't provide any additional feedback at this time. We understand that this may be disappointing news, we would however be happy to consider you for any future opportunities that may be a better fit. If you haven't already connected with us, please do so to allow us to keep you updated on any new opportunities that will open up in the future. We wish you all the best in your job search and hope that you will keep us in mind for the future. Thank you again for your interest in [Company_F]!",Data Engineer - Intern,945,166,8,0.9898,0.16924242424242422,28.0,17,1,5,1,15,0.09036144578313253,0.030120481927710843,True,True,52.164545454545475,2,4,4,1,0,0,0,1,9,1,rejection,
Company_G,"Dear [Name], Thank you for your application to the Junior Project Manager role at [Company_G]. We are writing to let you know that we have reviewed your application. We regret to inform you that we shall not be progressing your application further for this particular role. We appreciate that you considered us for your next career step and hope that you maintain interest in [Company_G] and our products. If you would like to apply for other new openings we would be happy to consider you. As guidance we can consider your application for the same role once every six months, or across four separate roles in a six month period. Regards,",Junior Project Manager,638,109,7,0.9442,0.13971861471861471,12.0,7,1,3,1,12,0.11009174311926606,0.027522935779816515,True,False,59.25209459459461,2,4,3,1,0,0,0,1,6,1,rejection,
Company_H,"Hi [Name], Thank you again for your interest in [Company_H]. Unfortunately, we have decided not to proceed with your application for the position of Customer Services Consultant as we have decided to move forward with other candidates that we feel are a better fit. However, we were impressed with your skills and background. If you would like to apply for a different position in the future, follow us on social media and stay up to date with all new job opportunities. Good luck in your job search!",Customer Services Consultant,500,86,6,0.9678,0.231969696969697,19.0,9,0,2,1,6,0.06976744186046512,0.023255813953488372,True,False,58.870551724137954,2,1,2,0,0,0,0,2,7,0,rejection,
Company_I,"Hi [Name], First of all, thank you for your interest shown in [Company_I] and the time you took to apply for the Frontend Developer position. The quality of candidates we have received for this role, including yourself, has been very high. Unfortunately, we couldn't find an immediate match based on your competency this time around. Therefore, we have chosen to proceed to the next stage with other candidates who at this moment fit the position better. Once again, we greatly appreciate your interest in [Company_I] and encourage you to keep an eye on the job listings on our career page. Further, we are proud to be a [Parent Company] brand, so don't forget to check out the vacancies at other [Parent Company] companies as well. We wish you all the best in your professional career!",Frontend Developer,786,135,8,0.9836,0.2563846153846154,18.0,11,1,3,1,8,0.05925925925925926,0.022222222222222223,True,True,58.166666666666686,2,5,5,0,0,0,0,0,13,1,rejection,
Company_J,"Hi [Name], First of all my apologies for not getting back sooner. As a person you have the values and personality that would fit with our organization. After several interviews, people finally agreed with me that your preference is a technical job to land in. However, this is not where your market value is. This is where you are competing with people with much stronger technical study and work experiences. So we've decided to not move forward with the recruitment process. Feel free to come back to me if you want to further discuss.",Technical Role,537,95,8,0.9313,0.11363636363636363,6.0,5,0,0,1,5,0.05263157894736842,0.0,False,True,62.70500000000001,2,3,2,0,0,0,1,2,7,0,rejection,
Company_K,"Hi [Name], Thank you for your interest in our vacancy. However, all the spots of this vacancy are already filled, so we're not looking for new candidates anymore. Also, we are mostly looking for Dutch and/or French speaking candidates. Good luck with finding a job.",Unknown,265,47,5,0.886,0.3472727272727273,9.0,4,0,1,0,2,0.0425531914893617,0.02127659574468085,False,False,67.57625000000003,2,1,2,0,0,0,0,2,4,2,rejection,
Company_L,"Hello, Thank you for your application to join [Company_L] as a Junior Data Engineer Trainee. Given the large number of applicants, we are forced to select more strictly on competencies and technical knowledge. We regret to inform you that we will not take you to the next step in the selection process. Thank you again for your interest in [Company_L]. We wish you the best of luck in your career search!",Junior Data Engineer Trainee,404,69,6,0.9312,0.23571428571428568,11.0,8,2,3,1,8,0.11594202898550725,0.043478260869565216,True,False,68.50087323943661,1,1,2,1,1,0,0,1,5,2,rejection,
Company_M,"Dear [Candidate], Thank you very much for the time, effort, and interest you have shown in applying for the position of Junior Web developer at [Company_M]. We appreciate the energy and care that goes into each application. After reviewing a very large number of candidates, we have now completed the recruitment process and selected a candidate for the role. Due to the exceptionally high volume of applications, weâ€™re unfortunately unable to respond to individual questions or provide personal feedback, regardless of the stage reached in the process. We sincerely value your interest in joining our team and encourage you to keep an eye on our job board for future opportunities that may match your skills and ambitions.",Junior Web developer,723,117,6,0.98,0.06373015873015873,15.0,10,1,2,1,5,0.042735042735042736,0.017094017094017096,True,False,38.46861538461539,1,4,2,1,0,0,0,0,9,1,rejection,
Company_N,"Dear [Candidate], thank you for your application. We are providing some feedback as part of our learning-focused process. After reviewing your CV and interview, we were not fully convinced about your motivation for this role. Many candidates have shown more recent steps toward the required skills. This does not mean you cannot pursue similar opportunities in the future. Our general advice is to continue learning, practicing, and building a portfolio to strengthen your applications. We wish you all the best in your career journey.",Software Developer,535,85,8,0.9009,0.27578125,16.0,9,0,2,0,8,0.09411764705882353,0.023529411764705882,True,False,50.63357142857146,2,6,4,0,1,0,0,0,12,0,rejection_with_feedback,
Company_O,,,0,0,0,,,0.0,0,0,0,0,0,0.0,0.0,False,False,,0,0,0,0,0,0,0,0,0,0,ghosted,45.0
Company_P,,,0,0,0,,,0.0,0,0,0,0,0,0.0,0.0,False,False,,0,0,0,0,0,0,0,0,0,0,ghosted,90.0
Company_Q,,,0,0,0,,,0.0,0,0,0,0,0,0.0,0.0,False,False,,0,0,0,0,0,0,0,0,0,0,ghosted,30.0
Company_R,,,0,0,0,,,0.0,0,0,0,0,0,0.0,0.0,False,False,,0,0,0,0,0,0,0,0,0,0,ghosted,120.0
